st_uuid,st_name,緯度,經度,運作狀態,GPS主機電壓,電瓶電壓,抽水量,出水量
682dd829-ecc0-456d-aa40-6415bb97601a,五河局-113-18,a2064035-2995-4f2d-a258-484844990739,2dfe7156-5db5-4fe6-85a5-ee6f2c8dc5bc,676af224-3212-4b6a-b24f-358299b5f8d3,,8b50f0a4-bdcb-4234-8af5-8a4dae3f0ee4,,093ff787-8982-4b9f-b6cd-b64d6c8c26e2
9658851c-7e58-4b27-bef4-0124413b3363,五河局-113-19,277aca75-787d-4335-9b6f-51f6b1f4dd39,172c4883-44dd-4903-8b88-56130d241b90,e676a472-e06f-4d70-b5c2-af56fef81efc,,7cae67f4-b784-4009-b596-82d383907cb3,,0a50265d-695a-4460-8630-50d35133f5d1
a0a6c7e1-21cb-4488-8193-c368163b72cd,五河局-113-20,0d6721b0-1826-4460-a48e-69db9adf7bb4,b7f5966a-60be-4731-983e-98db306b861c,c64ad0f1-840d-4fc1-b0ad-ec33a34f5cea,,3c41603e-57b6-4d3a-892c-232421561fe2,,da21088d-43ff-45b1-a6e3-e5c26616d2a9
247a7e86-c49b-4024-b4a0-2584b2c8d61a,五河局-113-21,b1d1d956-2555-41e0-a345-43da96ff1018,2bfddb96-e710-4ae2-b178-4745cd5d86c1,b87df710-5f4c-449c-9587-b78f3c524ab7,,5fa6f858-7df8-4675-8c14-6a6347de0dc0,,bd3c2190-0a0e-4979-90e9-5bb66b911095
d8eecd33-efb0-4059-be7e-0c81445e0994,五河局-113-22,4c8aac86-0fe5-48df-980e-5e828bc9cefe,9757a3e3-361d-4097-b9d5-dd0cdc7521b4,4c12a66e-4e4f-4489-9e52-5cde9e53c3e1,,46f6001e-b7d3-4da4-9ad6-0a3cb1cdecb5,,7a33a0eb-d16e-4da1-bd50-208d0c75f8b7
b491ad55-8fc4-418a-8899-4685009c72b6,五河局-113-23,dc51c9f2-bf76-46b5-9d0b-4a8dd95fb8bd,5867aefb-7469-41a8-97cb-9c11e6ab2647,a585960a-a78d-4d24-bf7e-3255a23ea9ce,,157573de-60f4-4409-8133-fc6499401035,,8716dacd-5855-4bad-a68f-1db12eebf495
4fe4361e-3912-47fb-99f4-6032054a5a89,五河局-113-24,121b2ca3-92bf-4406-a197-e63458b80e37,2c25a24d-46bc-48d5-b85e-45f2549652ce,2369fb63-440d-415a-a4ce-7c63b7a284e5,,e67090fa-7ef4-46df-bc09-cd255df48330,,7d825309-4e92-481b-9387-f7dba3009f90
de3cf73b-46ba-45e8-b394-327e9aa606cc,五河局-113-25,3649e829-5291-4cb3-a495-7e8a8c07aaed,0de15da4-b3f7-425f-8799-34f0cd039ad9,4766cee9-5888-4179-9755-325a4535fa97,,19059e19-267b-4a85-861f-cd405c182eec,,d0033fc7-3407-41c4-b588-e7a0c9958736
e41bd3a9-3646-4306-abe7-d50602d7b2e9,五河局-113-26,5fe60381-70c9-4012-9a38-33d9b0e9ad34,99c8a9dd-1832-476b-97bd-39dc8c80ba6a,d6c9b4a8-0fd4-4970-991d-a13c429d3438,,d2d37b06-7b7e-4435-ae36-904ba0d2efc0,,b4d2ad1e-d35e-4a11-8557-ed62c6f79c97
bde082d3-8a1f-4d71-89de-c89fb6afeae5,嘉義縣-104(Cat-M1),e04b1257-2521-4154-83e1-0ed71b5a9bc0,f608b743-4661-4a4b-8ae0-66f41ecc4197,cef4e9e8-ee87-4c35-814f-0da88fb04f92,dbfb12c1-46e2-4259-9371-dc14a0a520fe,008b6d17-c764-4f40-abc5-bffa815440a5,73e1df81-41da-409f-9619-d2ddb72255dd,4f499d46-cc37-4c32-8a07-6e9faa14a208
